数据集,视频文件,Ground Truth,预测结果,正确性,描述摘要
"大样本事故数据集","227.mp4",事故,YES,✓,"在高速公路监控画面中，一辆橙色货车在行驶过程中突然变道，与相邻车道的黑色轿车发生剧烈侧面碰撞。碰撞瞬间清晰可见，导致货车严重侧翻，轿车也因撞击力失控旋转。整个过"
"大样本事故数据集","228.mp4",事故,YES,✓,"监控画面显示，在高速公路场景中，一辆白色轿车在行驶过程中突然失控，偏离正常车道，猛烈撞击中央隔离带。该事件有清晰的碰撞过程和车辆轨迹异常，可确认为一起交通事故。"
"大样本事故数据集","229.mp4",事故,NO,✗,""
"大样本事故数据集","230.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。一辆白色轿车在行驶过程中与一辆摩托车发生猛烈碰撞。碰撞发生在t=3.6s至t=4.8s之间，撞击导致摩托车瞬间解体，碎片飞"
"大样本事故数据集","231.mp4",事故,NO,✗,""
"大样本事故数据集","232.mp4",事故,YES,✓,"监控画面清晰记录了一起两辆大型货车之间的碰撞事故。蓝色车头的半挂车在转弯时未能保持安全距离，其车头与另一辆红色货车的车厢侧面发生直接碰撞。碰撞瞬间产生了明显的视"
"大样本事故数据集","233.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在湿滑路口的交通事故。一辆灰色轿车在左转过程中，未能让行直行的大型货车，导致两车在路口中央发生剧烈侧面碰撞。事故造成轿车严重失控旋转，"
"大样本事故数据集","234.mp4",事故,YES,✓,"监控画面显示，在湿滑的路面上，一辆红色货车与一辆灰色轿车在路口发生严重侧面碰撞。碰撞导致灰色轿车失控旋转并猛烈撞击路边护栏，现场产生明显烟雾和碎片，确认为一起交"
"大样本事故数据集","235.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间十字路口的严重交通事故。一辆红色大货车在左转过程中，与一辆直行的小型车辆发生正面碰撞。碰撞导致小型车辆当场翻覆并解体，现场烟尘弥"
"大样本事故数据集","236.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的严重车辆碰撞事故。在视频中段（约第3-5帧），一辆深色轿车在路口与另一辆车相撞，撞击力度巨大，导致两车严重损毁、冒烟，并偏"
"大样本事故数据集","237.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在多车道城市道路上的交通事故。一辆白色SUV在变道或行驶过程中，与相邻车道的一辆白色面包车发生侧面碰撞。碰撞瞬间，两车有明显的物理接触"
"大样本事故数据集","238.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的车辆碰撞事故。一辆白色SUV在通过路口时，与一辆从侧方驶来的红色小型货车发生侧面碰撞。碰撞瞬间两车均有明显的物理接触和运动"
"大样本事故数据集","239.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的两车相撞事故。一辆黑色轿车和一辆白色轿车在路口中心发生正面碰撞，撞击导致两车受损并停在路中，现场有碎片散落。整个过程被完整"
"大样本事故数据集","240.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的两车相撞事故。在夜间湿滑的路面上，一辆深色轿车与一辆浅色轿车发生正面或侧面猛烈碰撞，导致浅色车辆严重损毁并解体，碎片散落一地，深色车"
"大样本事故数据集","241.mp4",事故,YES,✓,"在高速公路监控画面中，于第5帧（约5.33秒）清晰捕捉到一起追尾事故。一辆红色货车从后方撞上一辆绿色小车，撞击瞬间产生明显尘土，两车发生物理接触并导致绿色小车被"
"大样本事故数据集","242.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。一辆白色大巴车在行驶过程中突然向右偏移，猛烈撞击高速公路右侧的护栏。撞击导致车辆失控旋转，并产生大量烟雾和散落物，最终停在"
"大样本事故数据集","243.mp4",事故,YES,✓,"视频清晰记录了一起交通事故：一辆黑色轿车在行驶中失控，猛烈撞向道路右侧的白色花坛护栏。碰撞瞬间，护栏被撞得支离破碎，大量碎片飞溅，车辆也因撞击而停下。整个过程在"
"大样本事故数据集","244.mp4",事故,YES,✓,"在视频片段的第6.67秒（帧5），监控画面清晰记录了一起交通事故。一辆银色面包车（ID:8）在行驶过程中与前方一辆深色轿车（ID:4）发生侧面碰撞。两车在碰撞瞬"
"大样本事故数据集","246.mp4",事故,YES,✓,"监控画面显示，在高速公路右侧车道，一辆深色SUV在行驶过程中突然失控，其车尾猛烈撞击右侧护栏，导致车辆发生侧滑并产生烟尘。这是一个明确的单方交通事故，有清晰的物"
"大样本事故数据集","247.mp4",事故,YES,✓,"视频片段记录了一起严重的单方交通事故。一辆白色车辆在行驶至弯道时失控，于第6秒左右猛烈撞击右侧护栏，引发剧烈碰撞，车辆翻滚并产生大量烟雾和碎片，事故过程清晰可见"
"大样本事故数据集","248.mp4",事故,YES,✓,"在夜间能见度极低的环境下，监控画面捕捉到两辆大型卡车发生侧面碰撞的全过程。一辆红色自卸卡车在行驶过程中，与对向车道的一辆卡车发生直接物理接触，碰撞点位于红色卡车"
"大样本事故数据集","249.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在高速公路上的交通事故。一辆白色轿车在向右变道时，与同向行驶的一辆蓝色卡车发生侧面碰撞。碰撞导致白色轿车瞬间失控、旋转并最终侧翻在路中"
"大样本事故数据集","250.mp4",事故,YES,✓,"监控画面显示，一辆汽车在夜间道路上正常行驶，但在第13秒左右突然失控，向左偏离车道并撞击路边物体，现场有明显烟尘，确认为交通事故。"
"大样本事故数据集","251.mp4",事故,YES,✓,"在视频片段中，一辆黑色轿车在夜间行驶时，未能保持安全距离或控制好方向，撞上了道路右侧的白色隔离护栏。碰撞导致护栏被撞倒并散落，车辆也发生了明显的轨迹偏移。这是一"
"大样本事故数据集","252.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。一辆白色轿车在行驶过程中与一辆同向行驶的摩托车发生碰撞。碰撞瞬间产生了明显的冲击和烟雾，摩托车驾驶员被撞飞并倒地，摩托"
"大样本事故数据集","253.mp4",事故,YES,✓,"监控画面显示，在高速公路中央隔离带位置，一辆深色车辆在行驶过程中发生严重碰撞事故。事故瞬间产生大量烟尘，车辆随后静止不动，表明其已失去移动能力。虽然没有看到与其"
"大样本事故数据集","254.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在高速公路的交通事故。一辆黑色轿车在行驶过程中与一辆大型汽车运输车发生侧面碰撞，导致黑色轿车失控旋转并撞上护栏，车辆严重受损。整个碰撞"
"大样本事故数据集","255.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间十字路口的两车相撞事故。一辆深色轿车在通过路口时，与另一辆从侧方驶来的浅色轿车发生剧烈侧面碰撞。碰撞导致浅色车辆失控旋转，深色车"
"大样本事故数据集","256.mp4",事故,YES,✓,"视频片段清晰记录了一起严重的车辆碰撞事故。一辆红色大货车在行驶过程中与一辆黑色小轿车发生正面或侧面碰撞，撞击点位于货车车头与轿车车身之间。碰撞瞬间产生了明显的烟"
"大样本事故数据集","257.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的高速公路交通事故。一辆深色轿车在匝道口区域与另一目标发生猛烈碰撞，导致车辆当场解体，碎片四溅，并伴有大量烟尘。事故后果严重，符合“Y"
"大样本事故数据集","258.mp4",事故,POST_EVENT_ONLY,✓,"视频片段显示，在一条隧道内，右侧应急车道上停着一辆亮着蓝色警示灯的白色车辆，其后方伴有烟雾或水汽。这表明在监控画面开始前，该位置已发生交通事故，目前处于事故处理"
"大样本事故数据集","259.mp4",事故,YES,✓,"在2018年6月29日11:46:48左右，一个十字路口发生了一起交通事故。一辆满载货物的卡车在通过路口时，与一辆正在横穿马路的红色三轮车发生正面碰撞。撞击导致"
"大样本事故数据集","260.mp4",事故,YES,✓,"在夜间十字路口，一辆深色轿车与一辆白色车辆发生正面碰撞。事故发生在t=13.33s左右，碰撞瞬间有明显的光效和烟雾，表明发生了剧烈的物理接触。两车在碰撞后轨迹发"
"大样本事故数据集","261.mp4",事故,YES,✓,"在一段雨天的高速公路上，一辆红色卡车在行驶过程中突然失控，向左偏离车道并猛烈撞击左侧护栏，随后发生侧翻。事故现场扬起大量尘土，车辆严重受损，确认为一起单方交通事"
"大样本事故数据集","262.mp4",事故,YES,✓,"在夜间湿滑的十字路口，一辆红色货车在行驶过程中，其后方装载的白色大型货物突然发生滑落并倾倒在路面上，产生了明显的物理接触和位移，确认为一起货物脱落的交通事故。"
"大样本事故数据集","263.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故。一辆深色车辆在行驶至弯道时失控，猛烈撞击路边的绿化带。碰撞瞬间产生了大量的烟尘和强烈的闪光，车辆姿态发生剧变，这明确表明发生了物"
"大样本事故数据集","264.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故。在视频后半段，一辆银色轿车在路口与一名骑摩托车的人发生正面碰撞。碰撞瞬间，摩托车手被巨大的冲击力抛向空中并摔落在地，车辆前部严重"
"大样本事故数据集","265.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的道路交通事故。在十字路口中心，一辆白色SUV与一辆银色面包车发生剧烈侧面碰撞。撞击导致SUV被弹起并翻滚，面包车失控滑行，现场产生大"
"大样本事故数据集","267.mp4",事故,NO,✗,""
"大样本事故数据集","268.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在夜间的高速公路交通事故。一辆白色轿车在行驶过程中与邻近车道的另一辆白色轿车发生侧面碰撞，导致被撞车辆失控并最终撞向道路左侧的护栏。整"
"大样本事故数据集","269.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在十字路口的正面碰撞事故。一辆深色轿车与一辆白色罐车在路口中央相撞，碰撞过程及车辆受力后的姿态变化均清晰可见，构成明确的交通事故证据。"
"大样本事故数据集","270.mp4",事故,NO,✗,""
"大样本事故数据集","271.mp4",事故,YES,✓,"在视频片段的第10-11帧（约14.67秒），监控画面清晰记录了一起发生在十字路口中心的交通事故。一辆深色SUV（ID:2）与一辆蓝色轿车（ID:5）发生正面碰"
"大样本事故数据集","272.mp4",事故,YES,✓,"视频片段显示，在一个多车道公路上，一辆银色轿车在试图变道时与一辆白色皮卡车发生了侧面碰撞。事故发生在视频中段，银色轿车的异常姿态和与白色皮卡车的近距离接触是明确"
"大样本事故数据集","273.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在高速公路上的正面侧面碰撞事故。一辆白色轿车在行驶过程中与一辆银色SUV发生剧烈碰撞，导致白色轿车前部严重损毁，两车均失控停下，现场有"
"大样本事故数据集","274.mp4",事故,YES,✓,"在视频片段的第9帧至第10帧，清晰记录了一起交通事故。一辆黑色轿车（ID:2）在路口行驶时，与一辆正在通过路口的白色SUV（ID:6）发生侧面碰撞。碰撞导致白色"
"大样本事故数据集","275.mp4",事故,YES,✓,"监控画面清晰记录了一起交通事故：一辆蓝色汽车在行驶中未能避开路边的电线杆，发生正面碰撞。碰撞过程在帧3至帧5中清晰可见，伴随大量尘土飞扬和车辆姿态的剧烈改变，确"
"大样本事故数据集","276.mp4",事故,YES,✓,"在视频第8.4秒左右，一辆银色轿车在高速行驶过程中突然失控，猛烈撞击道路中央的金属隔离护栏。碰撞瞬间产生大量烟尘和碎片，车辆后部严重受损，最终停在路中间，构成一"
"大样本事故数据集","277.mp4",事故,YES,✓,"监控画面清晰记录了一起两车相撞的交通事故。一辆黑色轿车在路口左转时，与一辆正常直行的白色轿车发生侧面碰撞。撞击导致黑色轿车失控，冲出道路并撞上路边护栏，现场产生"
"大样本事故数据集","278.mp4",事故,YES,✓,"在视频片段的第4至5秒，一个明显的交通事故发生。一辆红色轿车在湿滑的十字路口左转时，与一辆从右侧直行的浅色轿车发生剧烈侧面碰撞。撞击瞬间清晰可见，浅色轿车被撞得"
"大样本事故数据集","279.mp4",事故,YES,✓,"在湿滑的十字路口，一辆白色轿车与一辆黑色轿车发生剧烈正面碰撞。碰撞瞬间发生在frame_05，导致白色轿车前部严重损毁，车门开启；黑色轿车被撞得原地旋转并滑行，"
"大样本事故数据集","280.mp4",事故,POST_EVENT_ONLY,✓,"监控画面显示，在十字路口发生了一起交通事故。一辆黑色轿车在事故后停在路口中央，车头严重受损，引擎盖变形，前保险杠脱落。虽然碰撞的瞬间没有被直接捕捉到，但车辆的损"
"大样本事故数据集","281.mp4",事故,YES,✓,"在视频片段的第6秒（帧5），监控画面清晰记录了一起发生在十字路口的车辆碰撞事故。一辆蓝色轿车与一辆白色轿车在路口中心发生正面碰撞，导致白色轿车失控旋转并伴有明显"
"大样本事故数据集","282.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在路口的正面碰撞事故。在视频片段的第5帧（约6.67秒），一辆白色轿车与另一辆浅色车辆发生剧烈碰撞，两车车头接触并产生明显形变及烟尘，"
"大样本事故数据集","283.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在路口的两车相撞事故。一辆白色面包车在行驶过程中与一辆正在转弯的银色轿车发生碰撞，撞击力度较大，导致银色轿车当场旋转并扬起尘土。该事故"
"大样本事故数据集","284.mp4",事故,NO,✗,""
"大样本事故数据集","78.mp4",事故,NO,✗,""
"大样本事故数据集","79.mp4",事故,YES,✓,"根据监控画面和检测元数据，在视频片段第3.73秒至4.67秒之间，一辆大型货车（ID:1）与一辆小型蓝色车辆（ID:4）在道路交叉口斑马线区域发生明显碰撞。证据"
"大样本事故数据集","80.mp4",事故,YES,✓,"视频片段记录了一起明确的追尾交通事故。在第5秒左右，一辆白色SUV（ID:3）在行驶过程中与前方的银灰色轿车发生碰撞，导致白色SUV车头严重变形，银灰色轿车被撞"
"大样本事故数据集","81.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的单方交通事故。一辆汽车在夜间行驶时失控，猛烈撞击中央隔离带，导致车辆翻滚并产生大量烟尘和火花。该事件符合“YES”判定标准，因为有明"
"大样本事故数据集","82.mp4",事故,NO,✗,""
"大样本事故数据集","83.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在湿滑路口的两车碰撞事故。一辆深色SUV在左转时与一辆正在通过路口的浅色轿车发生侧面碰撞，导致浅色轿车受损并产生碎片。事故过程完整可见"
"大样本事故数据集","84.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的交通事故。一辆白色轿车与一辆红色三轮车在路口发生正面碰撞。碰撞瞬间，三轮车驾驶员被巨大的冲击力抛出车外，两车均发生严重形变，并伴有明"
"大样本事故数据集","85.mp4",事故,YES,✓,"在视频片段中，一辆蓝色轿车在湿滑的高速公路上行驶时失控，偏离车道撞向路边的黄色防撞桶和金属护栏。撞击过程清晰可见，伴随着明显的烟尘和碎片，确认为一起单方交通事故"
"大样本事故数据集","86.mp4",事故,YES,✓,"在视频片段的第5-6帧，清晰记录了一起发生在十字路口人行横道上的两车碰撞事故。一辆白色轿车在左转过程中与一辆直行的红色轿车发生侧面碰撞，撞击点位于白色轿车的右前"
"大样本事故数据集","87.mp4",事故,YES,✓,"监控画面清晰记录了一起严重的夜间交通事故。一辆深色轿车在通过十字路口时，与一辆从左侧驶来的大型车辆发生正面或侧面猛烈碰撞。撞击导致轿车瞬间失控、旋转并侧翻，同时"
"大样本事故数据集","88.mp4",事故,YES,✓,"视频片段记录了一起明确的交通事故。一辆蓝色三轮车从道路左侧驶入主路，与一辆正常行驶的红色大货车发生正面碰撞。碰撞发生在视频中间时段（约第5-6秒），三轮车被撞后"
"大样本事故数据集","89.mp4",事故,YES,✓,"视频片段记录了一起明确的交通事故。一辆黑色轿车（ID:4）在多车道道路上试图变道时，与一辆从对向车道驶来的深色SUV（ID:5）发生正面碰撞。碰撞发生在视频第5"
"大样本事故数据集","94.mp4",事故,YES,✓,"监控画面显示，在一条多车道高速公路上，一辆白色小轿车从后方追尾了一辆正在行驶的大货车。碰撞发生在视频片段的第6秒左右，撞击点位于货车尾部，碰撞瞬间扬起大量尘土，"
"大样本事故数据集","95.mp4",事故,YES,✓,"监控画面清晰记录了一起夜间十字路口的侧面碰撞事故。一辆绿色自卸卡车在转弯过程中，与一辆从左侧直行的红色长车发生碰撞。碰撞发生在斑马线附近，红色车辆因撞击出现明显"
"大样本事故数据集","96.mp4",事故,YES,✓,"监控画面清晰记录了一起发生在多车道公路上的交通事故。在视频中段（约第5秒），一辆白色面包车在未确保安全的情况下向左变道，其车头与一辆正在直行的蓝色卡车的左侧车身"
"大样本事故数据集","97.mp4",事故,YES,✓,"在视频片段的第2-3帧中，清晰记录了一起交通事故。一辆蓝色出租车在行驶过程中与一辆迎面而来的摩托车发生正面碰撞。碰撞瞬间，摩托车驾驶员被猛烈撞击后抛离车体，摔倒"
"大样本事故数据集","98.mp4",事故,YES,✓,"在夜间，一名行人正在通过人行横道，一辆白色车辆驶近并与其发生碰撞，导致行人被撞倒在地。整个碰撞过程在视频中清晰可见，属于典型的机动车与行人交通事故。"
"大样本事故数据集","99.mp4",事故,YES,✓,"在2020年11月3日22:07:30左右的夜间十字路口，监控画面清晰记录了一起交通事故。一辆白色面包车在左转过程中，与一辆直行的摩托车在路口中央发生碰撞。碰撞"
"大样本非交通事故数据集","1097.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1098.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1099.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1100.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1101.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1102.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1103.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1104.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1105.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1106.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1107.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1108.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1109.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1110.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1111.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1112.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1113.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1114.mp4",非事故,UNCERTAIN,✗,"在夜间监控画面中，一辆摩托车与一辆白色轿车在路口斑马线区域出现异常近距离行驶，轨迹高度重合，疑似发生危险接近或轻微刮擦。然而，由于光线不足和画面分辨率限制，未能"
"大样本非交通事故数据集","1115.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1116.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1117.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1118.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1119.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1120.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1121.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1122.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1123.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","1124.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2087.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2088.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2089.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2090.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2091.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2092.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2093.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2094.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2095.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2096.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2097.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2098.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2099.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2100.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2101.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2102.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2103.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2104.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2105.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2106.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2107.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2108.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2109.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2110.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2111.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2112.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2113.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2114.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2115.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2116.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2117.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2118.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2119.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2120.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2121.mp4",非事故,NO,✓,""
"大样本非交通事故数据集","2122.mp4",非事故,NO,✓,""
